ID,Rating,Paygrade,Exam_Area,Subject,Concentration,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,Source_Manual,Source_File,Source_URL,Page,Manual_Edition,Verbatim_Quote,Quote_Verified,Check_Notes,Judge_Verdict,Judge_Notes
ADV001,PS,E-5,Education Services,Final Multiple Score,Award Points,What is the maximum number of award points authorized for an E-5 candidate?,12,10,15,8,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=52,52,"1430.16H, 21 Jan 2026",Maximum award points authorized are 10 points for E-5 candidates and 12 points for E-6 candidates.,PASS,Found on stated page.,PASS,
ADV002,PS,E-6,Education Services,Final Multiple Score,Award Points,What is the maximum number of award points authorized for an E-6 candidate?,14,10,12,11,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=52,52,"1430.16H, 21 Jan 2026",Maximum award points authorized are 10 points for E-5 candidates and 12 points for E-6 candidates.,PASS,Found on stated page.,PASS,
ADV003,PS,E-5,Education Services,Final Multiple Score,Award Points,How are award points entered on the electronic EAW?,As a decimal to two places,As a one-digit number,As a three-digit number,As a two-digit number,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=52,52,"1430.16H, 21 Jan 2026",Award points are entered as a two-digit number.,PASS,Found on stated page.,PASS,
ADV004,PS,E-7,Education Services,Final Multiple Score,Award Points,Are award points included in the final multiple score computation for E-7 candidates?,"Yes, at full value","Yes, at half value",No,Only for combat awards,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=52,52,"1430.16H, 21 Jan 2026",Award points are not included in the FMS computation for E-7 candidates.,PASS,Found on stated page.,PASS,
ADV005,PS,E-5,Education Services,Final Multiple Score,Award Points,An award is documented with only a month and year. What ending date is presumed?,The 15th of that month,The last day of that calendar year,The first day of that month,The last day of the respective month,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=52,52,"1430.16H, 21 Jan 2026",Awards with only a month/year date are presumed to have an ending date on the last day of the respective month.,PASS,Found on stated page.,PASS,
ADV006,PS,E-5,Education Services,Final Multiple Score,Award Points,Where does NETPDC obtain a candidate's education points?,The candidate's ESR,The command ESO,Section 7 of the EAW,The Joint Service Transcript,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=52,52,"1430.16H, 21 Jan 2026",NETPDC will obtain education points from the Joint Service Transcript (JST),PASS,Found on stated page.,PASS,
ADV007,PS,E-5,Education Services,Final Multiple Score,Award Points,"What is the maximum award point credit for letters of commendation signed by a flag, general, or SES officer?",Two points,Three points,Four points,One point,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=53,53,"1430.16H, 21 Jan 2026","A maximum of two points for letters of commendation signed by a flag, general, or senior executive service (SES) officer will be credited to the awards factor for E-5 and E-6 candidates only.",PASS,Found on stated page.,PASS,
ADV008,PS,E-5,Education Services,Final Multiple Score,Award Points,"What is the maximum award point credit for an individual's Air Medal, regardless of the number of strikes?",Three points,One point,Five points,Two points,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=53,53,"1430.16H, 21 Jan 2026","A maximum of three points for an individual’s Air Medal will be credited to the awards factor for E-5 and E-6 candidates, regardless of the number of strikes.",PASS,Found on stated page.,PASS,
ADV009,PS,E-5,Education Services,Final Multiple Score,Award Points,"A command Battle ""E"" is later issued to a Sailor as an individual letter of commendation. Does it qualify for award point credit?",Only for E-6 candidates,"Yes, one point","Yes, two points",No,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=53,53,"1430.16H, 21 Jan 2026","Command or unit awards (e.g., Battle “E,” Golden Helm Award, Robert S. Gray Award, NEY Awards, Golden Oak Leaf Award, etc.) subsequently issued as individual letters of commendation do not qualify for award point credit.",PASS,Found on stated page.,PASS,
ADV010,PS,E-5,Education Services,Final Multiple Score,Award Points,How are Gold and Silver Wreath awards signed by flag officers treated for award points?,They are considered letters of commendation,They receive no credit,They are considered unit awards,They are worth three points each,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=53,53,"1430.16H, 21 Jan 2026",Gold and Silver Wreath awards signed by flag officers are considered letters of commendation.,PASS,Found on stated page.,PASS,
ADV011,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,To how many decimal places is PMA rounded?,Two,It is not rounded,One,Three,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=54,54,"1430.16H, 21 Jan 2026",PMA will be rounded to two decimal places.,PASS,Found on stated page.,PASS,
ADV012,PS,E-6,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,"In the RSCA PMA computation, what happens when the difference between the ITA and RSCA value is 0.04 or less?",0.20 points are added,The evaluation is discarded,The RSCA PMA is set to 0.00,No additional points are added to the evaluation value,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=54,54,"1430.16H, 21 Jan 2026","If the difference is negative or 0.04 or less, no additional points are added to the evaluation value.",PASS,Found on stated page.,PASS,
ADV013,PS,E-6,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,What happens if an RSCA value is missing for any evaluation in the computation period?,RSCA PMA will be equal to 0.00 and considered a discrepancy,The candidate is automatically ineligible,The evaluation is skipped,The PMA defaults to 3.60,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=54,54,"1430.16H, 21 Jan 2026","If the RSCA value is missing for any of the evaluations in the PMA of the exam administration cycle computation period, then RSCA PMA will be equal to 0.00 and will be considered a discrepancy until resolved by the command.",PASS,Found on stated page.,PASS,Flagged WEAK_PROOF by outside review; quote widened to carry the answer.
ADV014,PS,E-8,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,Which candidates are excepted from the requirement to have a PMA or RSCA PMA?,SELRES candidates only,E-8 and E-9 candidates,E-6 and E-7 candidates,E-4 and E-5 candidates,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=54,54,"1430.16H, 21 Jan 2026","A PMA or RSCA PMA is required for each candidate, with the exception of E-8 and E-9 candidates",PASS,Found on stated page.,PASS,
ADV015,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,"Under the block 45 conversion, what numeric value is assigned to a Must Promote?",3.4,3.6,3.8,4.0,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=55,55,"1430.16H, 21 Jan 2026",Early Promote = 4.0 Must Promote = 3.8 Promotable = 3.6 Progressing = 3.4 Significant Problems = 2.0,PASS,Found on stated page.,PASS,
ADV016,PS,E-4,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,"A new accession has graduated ""A"" school and has no evaluation in pay grade. What one-time PMA is selected in EAW?",4.00,3.60,3.40,3.80,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=55,55,"1430.16H, 21 Jan 2026","For new accession candidates who have graduated from “A” school and are eligible for the upcoming NWAE and do not have a current evaluation in pay grade, a one-time PMA or RSCA PMA of 3.60 will be selected in EAW.",PASS,Found on stated page.,PASS,Flagged WEAK_PROOF by outside review; quote widened to carry the answer.
ADV017,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,May a special evaluation be used to establish initial eligibility for BBA RKE participation?,No,Only for E-6 candidates,"Yes, with CO approval","Yes, always",A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=55,55,"1430.16H, 21 Jan 2026","For BBA RKE participation, special evaluations may not be used to establish initial eligibility or manipulate PMAs",PASS,Found on stated page.,PASS,
ADV018,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,What end date must a special evaluation have for the March examination?,31 January,31 March,28/29 February,31 December,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=56,56,"1430.16H, 21 Jan 2026",(3) 28/29 February for the March examination,PASS,Found on stated page.,PASS,
ADV019,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,What end date must a special evaluation have for the September examination?,31 December,31 August,30 September,31 July,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=56,56,"1430.16H, 21 Jan 2026",(5) 31 August for the September examination,PASS,Found on stated page.,PASS,
ADV020,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,May a candidate participate in the exam without a PMA or RSCA PMA?,"Yes, for SELRES only",No,"Yes, if the CO recommends it","Yes, with an ETP on file",B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=56,56,"1430.16H, 21 Jan 2026",Exam participation is not authorized for personnel without a PMA or RSCA PMA.,PASS,Found on stated page.,PASS,
ADV021,PS,E-5,Education Services,Final Multiple Score,Performance Mark Average and RSCA PMA,By what point must the ESO ensure PMA and RSCA PMA computations are completed?,Prior to the exam date,Prior to the release of the cycle NAVADMIN,Prior to the first day of the month of the exam administration cycle,Within one week after the exam,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=56,56,"1430.16H, 21 Jan 2026",It is the ESOs responsibility to ensure PMA and RSCA PMA computations are completed prior to the first day of the month of the exam administration cycle.,PASS,Found on stated page.,PASS,
ADV022,PS,E-5,Education Services,Final Multiple Score,Advancement Exam Worksheet,When does the EAW worksheet close for active duty and TAR candidates?,2 weeks after the exam date,1 week after the exam date,The last day of the exam month,On the exam date,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=57,57,"1430.16H, 21 Jan 2026","For active duty/TAR, the EAW worksheet will “close” (lock) 1 week after the exam date.",PASS,Found on stated page.,PASS,
